Algorithm,Training Time,Accuracy,Precision,Recall,F1-Measure
Naive Bayes,0.022000s,0.73737373737373735,0.69811320754716977,0.78723404255319152,0.73999999999999999
Linear Regression,0.472000s,1.0,,,
Random Forest (N=10),0.042000s,0.92929292929292928,0.90000000000000002,0.95744680851063835,0.92783505154639179
Random Forest (N=20),0.082000s,0.90909090909090906,0.8392857142857143,1.0,0.9126213592233009
Random Forest (N=100),0.341000s,0.92929292929292928,0.87037037037037035,1.0,0.93069306930693074
Random Forest (N=200),0.689000s,0.92929292929292928,0.87037037037037035,1.0,0.93069306930693074
Random Forest (N=300),1.038000s,0.92929292929292928,0.87037037037037035,1.0,0.93069306930693074
Random Forest (N=10000),35.251000s,0.9494949494949495,0.90384615384615385,1.0,0.9494949494949495
"SVM (C=1, kernel=rbf)",0.346000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=1, kernel=linear)",0.277000s,0.88888888888888884,0.83333333333333337,0.95744680851063835,0.8910891089108911
"SVM (C=1, kernel=poly)",0.253000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=1, kernel=sigmoid)",0.339000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=10, kernel=rbf)",0.351000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=10, kernel=linear)",0.266000s,0.90909090909090906,0.86538461538461542,0.95744680851063835,0.90909090909090906
"SVM (C=10, kernel=poly)",0.307000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=10, kernel=sigmoid)",0.319000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=20, kernel=rbf)",0.331000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=20, kernel=linear)",0.300000s,0.90909090909090906,0.86538461538461542,0.95744680851063835,0.90909090909090906
"SVM (C=20, kernel=poly)",0.302000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=20, kernel=sigmoid)",0.282000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=100, kernel=rbf)",0.297000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=100, kernel=linear)",0.329000s,0.90909090909090906,0.86538461538461542,0.95744680851063835,0.90909090909090906
"SVM (C=100, kernel=poly)",0.319000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=100, kernel=sigmoid)",0.305000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=1000, kernel=rbf)",0.284000s,0.81818181818181823,0.73015873015873012,0.97872340425531912,0.83636363636363631
"SVM (C=1000, kernel=linear)",0.320000s,0.90909090909090906,0.86538461538461542,0.95744680851063835,0.90909090909090906
"SVM (C=1000, kernel=poly)",0.291000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=1000, kernel=sigmoid)",0.286000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=10000, kernel=rbf)",0.340000s,0.90909090909090906,0.86538461538461542,0.95744680851063835,0.90909090909090906
"SVM (C=10000, kernel=linear)",0.296000s,0.90909090909090906,0.86538461538461542,0.95744680851063835,0.90909090909090906
"SVM (C=10000, kernel=poly)",0.309000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=10000, kernel=sigmoid)",0.298000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"AdaBoost (N=1, learning_rate=0.100000)",0.020000s,0.83838383838383834,0.75409836065573765,0.97872340425531912,0.85185185185185186
"AdaBoost (N=1, learning_rate=0.500000)",0.021000s,0.83838383838383834,0.75409836065573765,0.97872340425531912,0.85185185185185186
"AdaBoost (N=1, learning_rate=0.700000)",0.023000s,0.83838383838383834,0.75409836065573765,0.97872340425531912,0.85185185185185186
"AdaBoost (N=1, learning_rate=0.800000)",0.024000s,0.83838383838383834,0.75409836065573765,0.97872340425531912,0.85185185185185186
"AdaBoost (N=1, learning_rate=0.900000)",0.028000s,0.83838383838383834,0.75409836065573765,0.97872340425531912,0.85185185185185186
