Media,,
,Possui Atributo,Nao Possui Atributo
Retornou Atributo,130.0,16.75
Nao Retornou Atributo,91.75,61.5
,,
Precision,0.8704628174228459,
Recall,0.5812005268384296,
Accuracy,0.6383333333333333,
,,
,,
rating,,
,Possui Atributo,Nao Possui Atributo
Retornou Atributo,119,19
Nao Retornou Atributo,61,101
,,
Precision,0.8623188405797102,
Recall,0.6611111111111111,
Accuracy,0.7333333333333333,
,,
,,
title,,
,Possui Atributo,Nao Possui Atributo
Retornou Atributo,117,27
Nao Retornou Atributo,156,0
,,
Precision,0.8125,
Recall,0.42857142857142855,
Accuracy,0.39,
,,
,,
director,,
,Possui Atributo,Nao Possui Atributo
Retornou Atributo,158,0
Nao Retornou Atributo,87,55
,,
Precision,1.0,
Recall,0.6448979591836734,
Accuracy,0.71,
,,
,,
genre,,
,Possui Atributo,Nao Possui Atributo
Retornou Atributo,184,2
Nao Retornou Atributo,86,28
,,
Precision,0.989247311827957,
Recall,0.6814814814814815,
Accuracy,0.7066666666666667,
,,
,,
synopsis,,
,Possui Atributo,Nao Possui Atributo
Retornou Atributo,39,22
Nao Retornou Atributo,199,40
,,
Precision,0.639344262295082,
Recall,0.1638655462184874,
Accuracy,0.2633333333333333,
,,
,,
date,,
,Possui Atributo,Nao Possui Atributo
Retornou Atributo,197,32
Nao Retornou Atributo,67,4
,,
Precision,0.8602620087336245,
Recall,0.7462121212121212,
Accuracy,0.67,
,,
,,
runtime,,
,Possui Atributo,Nao Possui Atributo
Retornou Atributo,199,30
Nao Retornou Atributo,55,16
,,
Precision,0.868995633187773,
Recall,0.7834645669291339,
Accuracy,0.7166666666666667,
,,
,,
box_Office,,
,Possui Atributo,Nao Possui Atributo
Retornou Atributo,27,2
Nao Retornou Atributo,23,248
,,
Precision,0.9310344827586207,
Recall,0.54,
Accuracy,0.9166666666666666,
