Algorithm,Training Time,Accuracy,Precision,Recall,F1-Measure
Naive Bayes,0.027000s,0.73737373737373735,0.69811320754716977,0.78723404255319152,0.73999999999999999
Linear Regression,0.089000s,1.0,,,
Random Forest (N=10),0.049000s,0.86868686868686873,0.82692307692307687,0.91489361702127658,0.86868686868686862
Random Forest (N=20),0.098000s,0.87878787878787878,0.79661016949152541,1.0,0.88679245283018859
Random Forest (N=100),0.375000s,0.90909090909090906,0.8392857142857143,1.0,0.9126213592233009
Random Forest (N=200),0.608000s,0.9494949494949495,0.90384615384615385,1.0,0.9494949494949495
Random Forest (N=300),1.194000s,0.93939393939393945,0.8867924528301887,1.0,0.94000000000000006
Random Forest (N=10000),28.652000s,0.9494949494949495,0.90384615384615385,1.0,0.9494949494949495
"SVM (C=1, kernel=rbf)",0.182000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=1, kernel=linear)",0.175000s,0.88888888888888884,0.83333333333333337,0.95744680851063835,0.8910891089108911
"SVM (C=1, kernel=poly)",0.177000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=1, kernel=sigmoid)",0.176000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=10, kernel=rbf)",0.182000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=10, kernel=linear)",0.175000s,0.90909090909090906,0.86538461538461542,0.95744680851063835,0.90909090909090906
"SVM (C=10, kernel=poly)",0.176000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=10, kernel=sigmoid)",0.176000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=20, kernel=rbf)",0.180000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=20, kernel=linear)",0.174000s,0.90909090909090906,0.86538461538461542,0.95744680851063835,0.90909090909090906
"SVM (C=20, kernel=poly)",0.173000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=20, kernel=sigmoid)",0.175000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=100, kernel=rbf)",0.178000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=100, kernel=linear)",0.175000s,0.90909090909090906,0.86538461538461542,0.95744680851063835,0.90909090909090906
"SVM (C=100, kernel=poly)",0.174000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=100, kernel=sigmoid)",0.176000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=1000, kernel=rbf)",0.173000s,0.81818181818181823,0.73015873015873012,0.97872340425531912,0.83636363636363631
"SVM (C=1000, kernel=linear)",0.174000s,0.90909090909090906,0.86538461538461542,0.95744680851063835,0.90909090909090906
"SVM (C=1000, kernel=poly)",0.174000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=1000, kernel=sigmoid)",0.175000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=10000, kernel=rbf)",0.175000s,0.90909090909090906,0.86538461538461542,0.95744680851063835,0.90909090909090906
"SVM (C=10000, kernel=linear)",0.175000s,0.90909090909090906,0.86538461538461542,0.95744680851063835,0.90909090909090906
"SVM (C=10000, kernel=poly)",0.175000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"SVM (C=10000, kernel=sigmoid)",0.179000s,0.47474747474747475,0.47474747474747475,1.0,0.64383561643835618
"AdaBoost (N=1, learning_rate=0.100000)",0.024000s,0.83838383838383834,0.75409836065573765,0.97872340425531912,0.85185185185185186
"AdaBoost (N=1, learning_rate=0.500000)",0.024000s,0.83838383838383834,0.75409836065573765,0.97872340425531912,0.85185185185185186
"AdaBoost (N=1, learning_rate=0.700000)",0.024000s,0.83838383838383834,0.75409836065573765,0.97872340425531912,0.85185185185185186
"AdaBoost (N=1, learning_rate=0.800000)",0.023000s,0.83838383838383834,0.75409836065573765,0.97872340425531912,0.85185185185185186
"AdaBoost (N=1, learning_rate=0.900000)",0.023000s,0.83838383838383834,0.75409836065573765,0.97872340425531912,0.85185185185185186
"AdaBoost (N=1, learning_rate=1.000000)",0.023000s,0.83838383838383834,0.75409836065573765,0.97872340425531912,0.85185185185185186
"AdaBoost (N=5, learning_rate=0.100000)",0.105000s,0.83838383838383834,0.75409836065573765,0.97872340425531912,0.85185185185185186
"AdaBoost (N=5, learning_rate=0.500000)",0.102000s,0.88888888888888884,0.84615384615384615,0.93617021276595747,0.88888888888888884
"AdaBoost (N=5, learning_rate=0.700000)",0.102000s,0.88888888888888884,0.81034482758620685,1.0,0.89523809523809517
"AdaBoost (N=5, learning_rate=0.800000)",0.102000s,0.91919191919191923,0.93333333333333335,0.8936170212765957,0.91304347826086951
"AdaBoost (N=5, learning_rate=0.900000)",0.103000s,0.91919191919191923,0.8545454545454545,1.0,0.92156862745098034
"AdaBoost (N=5, learning_rate=1.000000)",0.107000s,0.91919191919191923,0.8545454545454545,1.0,0.92156862745098034
"AdaBoost (N=10, learning_rate=0.100000)",0.212000s,0.83838383838383834,0.75409836065573765,0.97872340425531912,0.85185185185185186
"AdaBoost (N=10, learning_rate=0.500000)",0.205000s,0.89898989898989901,0.84905660377358494,0.95744680851063835,0.90000000000000002
"AdaBoost (N=10, learning_rate=0.700000)",0.211000s,0.90909090909090906,0.85185185185185186,0.97872340425531912,0.91089108910891081
"AdaBoost (N=10, learning_rate=0.800000)",0.206000s,0.87878787878787878,0.81818181818181823,0.95744680851063835,0.88235294117647056
"AdaBoost (N=10, learning_rate=0.900000)",0.203000s,0.91919191919191923,0.89795918367346939,0.93617021276595747,0.91666666666666663
"AdaBoost (N=10, learning_rate=1.000000)",0.204000s,0.90909090909090906,0.88,0.93617021276595747,0.90721649484536082
"AdaBoost (N=30, learning_rate=0.100000)",0.595000s,0.88888888888888884,0.84615384615384615,0.93617021276595747,0.88888888888888884
"AdaBoost (N=30, learning_rate=0.500000)",0.623000s,0.88888888888888884,0.875,0.8936170212765957,0.88421052631578945
"AdaBoost (N=30, learning_rate=0.700000)",0.612000s,0.90909090909090906,0.88,0.93617021276595747,0.90721649484536082
"AdaBoost (N=30, learning_rate=0.800000)",0.597000s,0.90909090909090906,0.91304347826086951,0.8936170212765957,0.90322580645161288
"AdaBoost (N=30, learning_rate=0.900000)",0.606000s,0.92929292929292928,0.91666666666666663,0.93617021276595747,0.92631578947368431
"AdaBoost (N=30, learning_rate=1.000000)",0.605000s,0.87878787878787878,0.8571428571428571,0.8936170212765957,0.875
"AdaBoost (N=40, learning_rate=0.100000)",0.802000s,0.89898989898989901,0.84905660377358494,0.95744680851063835,0.90000000000000002
"AdaBoost (N=40, learning_rate=0.500000)",0.795000s,0.87878787878787878,0.8571428571428571,0.8936170212765957,0.875
"AdaBoost (N=40, learning_rate=0.700000)",0.807000s,0.92929292929292928,0.91666666666666663,0.93617021276595747,0.92631578947368431
"AdaBoost (N=40, learning_rate=0.800000)",0.802000s,0.88888888888888884,0.875,0.8936170212765957,0.88421052631578945
